alcance,tabla,propósito,campo,tipo,PK/FK,NULL,UNIQUE,valor_por_defecto,referencia,descripción
MVP,PREF_ROL,Catálogo de funciones autorizadas.,id_rol,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ROL,Catálogo de funciones autorizadas.,codigo,VARCHAR(40),,NO,SÍ,,,Código estable del rol.
MVP,PREF_ROL,Catálogo de funciones autorizadas.,nombre,VARCHAR(100),,NO,NO,,,Nombre visible.
MVP,PREF_ROL,Catálogo de funciones autorizadas.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para nuevas asignaciones.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,id_usuario,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,nombre_acceso,VARCHAR(80),,NO,SÍ,,,Identificador de inicio de sesión.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,credencial_hash,VARCHAR(255),,NO,NO,,,Derivado seguro de la credencial; nunca contraseña en texto plano.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,nombres,VARCHAR(120),,NO,NO,,,Nombres de la persona.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,apellidos,VARCHAR(120),,NO,NO,,,Apellidos de la persona.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,correo,VARCHAR(254),,SÍ,SÍ,,,Correo institucional opcional.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,activo,BOOLEAN,,NO,NO,TRUE,,Habilitación de acceso.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,fecha_creacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Fecha de alta.
MVP,PREF_USUARIO,Persona con acceso o participación registrada.,fecha_actualizacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Última actualización declarada.
MVP,PREF_USUARIO_ROL,Asignación histórica de roles a usuarios.,id_usuario,BIGINT,"PK,FK",NO,NO,,PREF_USUARIO.id_usuario,Usuario asignado.
MVP,PREF_USUARIO_ROL,Asignación histórica de roles a usuarios.,id_rol,BIGINT,"PK,FK",NO,NO,,PREF_ROL.id_rol,Rol asignado.
MVP,PREF_USUARIO_ROL,Asignación histórica de roles a usuarios.,fecha_desde,TIMESTAMP,PK,NO,NO,CURRENT_TIMESTAMP,,Inicio de vigencia.
MVP,PREF_USUARIO_ROL,Asignación histórica de roles a usuarios.,fecha_hasta,TIMESTAMP,,SÍ,NO,,,Fin de vigencia; NULL significa vigente.
MVP,PREF_SEDE,Sede física de la institución.,id_sede,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_SEDE,Sede física de la institución.,codigo,VARCHAR(30),,NO,SÍ,,,Código institucional.
MVP,PREF_SEDE,Sede física de la institución.,nombre,VARCHAR(120),,NO,NO,,,Nombre de la sede.
MVP,PREF_SEDE,Sede física de la institución.,direccion_referencia,VARCHAR(300),,SÍ,NO,,,Referencia descriptiva de ubicación.
MVP,PREF_SEDE,Sede física de la institución.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para nuevos registros.
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,id_espacio,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,id_sede,BIGINT,FK,NO,NO,,PREF_SEDE.id_sede,Sede a la que pertenece.
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,codigo,VARCHAR(40),,NO,NO,,,Código único dentro de la sede.
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,nombre,VARCHAR(120),,NO,NO,,,Nombre visible.
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,tipo,VARCHAR(60),,NO,NO,,,"Aula, laboratorio, oficina u otro tipo."
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,ubicacion_referencia,VARCHAR(250),,SÍ,NO,,,"Piso, bloque u otra referencia."
MVP,PREF_ESPACIO,Área física donde se reportan y ejecutan trabajos.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para nuevos registros.
MVP,PREF_RESPONSABLE_ESPACIO,Autoriza quién puede verificar trabajos de un espacio.,id_responsabilidad,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
